省庁名,部局名,部局所名,会計名,分類種類,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,都市計画区域,用途地域,建ぺい率,容積率,処理方法
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市宮本２丁目２０番４,"26,629,810","2,302.82","26,629,810",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市春採１丁目１３１番１９、１３１番２１、１３１番７０、１３１番７３,"9,173,349","2,198.23","9,173,349",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市春採１丁目１３１番６、１３１番３４、１３１番４８,"12,039,161","1,405.43","12,039,161",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市暁町１０番２２,"51,998,689","2,648.67","51,998,689",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市武佐１丁目２４８番４２、２４８番１４８,"26,203,497","2,002.56","26,203,497",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市武佐２丁目５９番２、５９番３,"18,742,718","1,697.71","18,742,718",市街化区域,第一種低層住居専用地域,50,80,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市武佐３丁目３９番３３６,"35,077,824","4,871.92","35,077,824",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市治水町１１番２,"10,082,646",753.73,"10,082,646",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市白樺台３丁目１２番７,"1,713,612",402.54,"1,713,612",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市白樺台５丁目１３番１、１３番７、１３番８,"3,633,273",995.17,"3,633,273",市街化区域,第一種低層住居専用地域,50,80,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市知人町１４１番３、１６１番,"854,018",344.98,"854,018",市街化区域,工業専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市知人町１４１番６,"10,309,950","2,061.99","10,309,950",市街化区域,工業専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市米町３丁目１３番５２,"32,359,284","5,992.46","32,359,284",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市美原４丁目６番７,"22,444,134","1,291.81","22,444,134",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市興津２丁目１０３番７４５,"1,803,495",206.06,"1,803,495",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市駒場町１３番２,"40,486,944","3,587.36","40,486,944",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,帯広財務事務所,一般会計,普通財産,北海道帯広市東１４条南５丁目３番１６,"12,574,977",857.19,"12,574,977",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,帯広財務事務所,一般会計,普通財産,北海道帯広市西１０条南１５丁目１４番１,"18,519,831",750.52,"18,519,831",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,帯広財務事務所,一般会計,普通財産,北海道帯広市西１６条南２７丁目１番１、同番２、同番３、同番４、同番５,"28,346,709","1,641.22","28,346,709",市街化区域,第二種住居地域,60,200,一般競争入札（売残）
